Date,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Species ,realYear,realDate
01-Oct-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,FATAL,,Death may have been due to drowning,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='01-Oct-2017'>"
25-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,leg,N,5' shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='25-Sep-2017'>"
25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,NO INJURY,N,"White shark, 3.5 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='25-Sep-2017'>"
24-Sep-2017,2017.0,Invalid,USA,New York,Surfing,M,foot,,Questionable,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='24-Sep-2017'>"
24-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,arm,N,4' to 5' shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='24-Sep-2017'>"
20-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='20-Sep-2017'>"
16-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Body surfing,M,foot,N,"Porbeagle, 1.5 m","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='16-Sep-2017'>"
16-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='16-Sep-2017'>"
15-Sep-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,FATAL,,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='15-Sep-2017'>"
15-Sep-2017,2017.0,,SAMOA, Upolu Island,Fishing,M,leg,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='15-Sep-2017'>"
13-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,foot,N,5' to 6' shark,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='13-Sep-2017'>"
10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,M,MINOR INJURY,N,,"<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='10-Sep-2017'>"
10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,lacerations,N,"White shark, 3 to 3.5m ","<re.Match object; span=(7, 11), match='2017'>","<re.Match object; span=(0, 11), match='10-Sep-2017'>"
